row_index,video_id,question,answer,pred_answer,task,correct,score,raw_judgment
0,9198b9a4-8d8f-4ba6-9924-4c86982d890a,What task is being performed with vegetables?,Chopping vegetables.,The task being performed with vegetables is chopping.,Scene Summary,yes,5,"{""correct"": ""yes"", ""score"": 5}"
1,9198b9a4-8d8f-4ba6-9924-4c86982d890a,What step is being taken with flatbread?,Wrapping sauce in flatbread.,The person is preparing to cut the flatbread into smaller pieces.,Scene Summary,no,0,"{""correct"": ""no"", ""score"": 0}"
2,9198b9a4-8d8f-4ba6-9924-4c86982d890a,What kitchen fixture is being utilized?,Opening a cabinet.,A kitchen island is being utilized.,Scene Summary,no,0,"{""correct"": ""no"", ""score"": 0}"
3,9198b9a4-8d8f-4ba6-9924-4c86982d890a,What's the overview of the action in the clip?,Preparing ingredients for a meal.,"The clip shows a person preparing food in a kitchen, focusing on cooking and mixing ingredients. The scene includes various kitchen items such as a cutting board with chopped vegetables, a bowl of red onions, a large knife, and other utensils. The person is seen chopping the vegetables and stirring them in a pot.",Action Caption,yes,5,"{""correct"": ""yes"", ""score"": 5}"
4,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Does the video show someone chopping vegetables?,Yes.,Yes,Whether Something Happened(Y/N),yes,5,"{""correct"": ""yes"", ""score"": 5}"
5,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Did the individual successfully open a kitchen cabinet?,Yes.,"Yes, the individual successfully opened a kitchen cabinet to retrieve an ingredient.",Whether Something Happened(Y/N),yes,5,"{""correct"": ""yes"", ""score"": 5}"
6,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is the flatbread being seasoned with sauce?,Yes.,Yes.,Whether Something Happened(Y/N),yes,5,"{""correct"": ""yes"", ""score"": 5}"
7,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is there an occurrence of food being wrapped?,Yes.,Yes.,Whether Something Happened(Y/N),yes,5,"{""correct"": ""yes"", ""score"": 5}"
8,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is the person using a knife for cooking tasks?,Yes.,Yes.,Whether Something Happened(Y/N),yes,5,"{""correct"": ""yes"", ""score"": 5}"
9,9198b9a4-8d8f-4ba6-9924-4c86982d890a,What is the location in the video clip?,A kitchen.,The location in the video clip is a kitchen.,Scene Summary,yes,5,"{""correct"": ""yes"", ""score"": 5}"
10,9198b9a4-8d8f-4ba6-9924-4c86982d890a,What kitchen activity is underway in the clip?,Cutting vegetables.,"The kitchen activity underway in the clip is preparing food, specifically making tortillas.",Scene Summary,no,1,"{""correct"": ""no"", ""score"": 1}"
11,9198b9a4-8d8f-4ba6-9924-4c86982d890a,What tool does the person in the video use?,Knives.,The person uses a large knife to cut the tomatoes.,Scene Summary,yes,5,"{""correct"": ""yes"", ""score"": 5}"
12,9198b9a4-8d8f-4ba6-9924-4c86982d890a,What appliance does the person in the video handle?,The heat regulator of the cooker.,The person in the video handles a dishwasher.,Scene Summary,no,0,"{""correct"": ""no"", ""score"": 0}"
13,9198b9a4-8d8f-4ba6-9924-4c86982d890a,What part of the kitchen furniture does the person interact with?,Drawers.,The person interacts with the kitchen cabinets and drawers.,Scene Summary,yes,4,"{""correct"": ""yes"", ""score"": 4}"
14,9198b9a4-8d8f-4ba6-9924-4c86982d890a,How is the person controlling the cooking temperature?,Operating the heat regulator.,The person is using a black-handled knife to turn the stove knob.,Action Caption,no,1,"{""correct"": ""no"", ""score"": 1}"
15,9198b9a4-8d8f-4ba6-9924-4c86982d890a,What can be inferred from the person's actions with the drawers?,Searching or organizing.,"The person's actions with the drawers suggest they are organizing or cleaning them, indicating a sense of order and tidiness in the kitchen.",Action Caption,yes,5,"{""correct"": ""yes"", ""score"": 5}"
16,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Does the clip show any cooking taking place?,"No direct cooking, only preparation.","Yes, the clip shows a cooking process in progress.",Action Caption,no,0,"{""correct"": ""no"", ""score"": 0}"
17,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Did the person successfully cut the vegetables?,Yes.,"Yes, the person successfully cut the tomatoes into smaller pieces.",Whether Something Happened(Y/N),yes,5,"{""correct"": ""yes"", ""score"": 5}"
18,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Was the heat regulator adjusted to a specific level?,"Yes, it was operated.","Yes, the heat regulator was adjusted to a specific level.",Whether Something Happened(Y/N),yes,5,"{""correct"": ""yes"", ""score"": 5}"
19,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Did the person use any other kitchen tools besides knives?,Heat regulator only mentioned.,"Yes, the person used a knife to cut the tomatoes and garlic.",Whether Something Happened(Y/N),no,0,"{""correct"": ""no"", ""score"": 0}"
20,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is the cabinet opened before wrapping the sauce in flat bread?,No,Yes.,Order Judging(Y/N),no,0,"{""correct"": ""no"", ""score"": 0}"
21,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Do I cut vegetables before operating the heat regulator on the cooker?,Yes,"Yes, the person is seen cutting vegetables before operating the heat regulator on the cooker.",Order Judging(Y/N),yes,5,"{""correct"": ""yes"", ""score"": 5}"
22,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is the drawer opened before the vegetables are chopped?,No,Yes.,Order Judging(Y/N),no,0,"{""correct"": ""no"", ""score"": 0}"
23,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Does wrapping sauce in flat bread happen after cutting vegetables?,Yes,"Yes, after cutting vegetables, the hands are seen wrapping sauce in flat bread.",Order Judging(Y/N),yes,5,"{""correct"": ""yes"", ""score"": 5}"
24,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Do I open the cabinet before chopping the vegetables?,No,"Yes, the person opens a cabinet before chopping the vegetables.",Order Judging(Y/N),no,0,"{""correct"": ""no"", ""score"": 0}"
25,9198b9a4-8d8f-4ba6-9924-4c86982d890a,What occurs just before wrapping the sauce in flat bread?,Chopping vegetables,"Just before wrapping the sauce in flat bread, a hand is seen holding a knife and cutting a tomato on a wooden cutting board.",What event order,yes,5,"{""correct"": ""yes"", ""score"": 5}"
26,9198b9a4-8d8f-4ba6-9924-4c86982d890a,What takes place right before operating the heat regulator of the cooker?,Cutting vegetables with knives,"A hand holding a black-handled knife appears, and the person starts to operate the heat regulator of the cooker.",What event order,no,1,"{""correct"": ""no"", ""score"": 1}"
