row_index,video_id,question,answer,pred_answer,task,correct,score,raw_judgment
0,9198b9a4-8d8f-4ba6-9924-4c86982d890a,What task is being performed with vegetables?,Chopping vegetables.,The task being performed with vegetables is chopping and preparing them for the next step in the cooking process.,Scene Summary,yes,5,"{
  ""correct"": ""yes"",
  ""score"": 5
}"
1,9198b9a4-8d8f-4ba6-9924-4c86982d890a,What step is being taken with flatbread?,Wrapping sauce in flatbread.,The person is preparing to place the flatbread into a pan filled with chili.,Scene Summary,no,1,"{
  ""correct"": ""no"",
  ""score"": 1
}"
2,9198b9a4-8d8f-4ba6-9924-4c86982d890a,What kitchen fixture is being utilized?,Opening a cabinet.,A stove is being utilized in the kitchen.,Scene Summary,no,0,"{""correct"": ""no"", ""score"": 0}"
3,9198b9a4-8d8f-4ba6-9924-4c86982d890a,What's the overview of the action in the clip?,Preparing ingredients for a meal.,"The clip shows a person preparing food in a kitchen, specifically making tortillas and adding them to a pot of chili. The scene includes various ingredients on the counter, such as onions, tomatoes, and other vegetables, along with cooking utensils like a frying pan and a large knife.",Action Caption,yes,4,"{
  ""correct"": ""yes"",
  ""score"": 4
}"
4,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Does the video show someone chopping vegetables?,Yes.,Yes,Whether Something Happened(Y/N),yes,5,"{
  ""correct"": ""yes"",
  ""score"": 5
}"
5,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Did the individual successfully open a kitchen cabinet?,Yes.,"Yes, the individual successfully opened a kitchen cabinet to retrieve an ingredient.",Whether Something Happened(Y/N),yes,5,"{
  ""correct"": ""yes"",
  ""score"": 5
}"
6,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is the flatbread being seasoned with sauce?,Yes.,Yes.,Whether Something Happened(Y/N),yes,5,"{
  ""correct"": ""yes"",
  ""score"": 5
}"
7,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is there an occurrence of food being wrapped?,Yes.,Yes.,Whether Something Happened(Y/N),yes,5,"{
  ""correct"": ""yes"",
  ""score"": 5
}"
8,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is the person using a knife for cooking tasks?,Yes.,Yes.,Whether Something Happened(Y/N),yes,5,"{
  ""correct"": ""yes"",
  ""score"": 5
}"
9,9198b9a4-8d8f-4ba6-9924-4c86982d890a,What is the location in the video clip?,A kitchen.,The location is a kitchen.,Scene Summary,yes,5,"{
  ""correct"": ""yes"",
  ""score"": 5
}"
10,9198b9a4-8d8f-4ba6-9924-4c86982d890a,What kitchen activity is underway in the clip?,Cutting vegetables.,"The clip shows a person preparing food in the kitchen, specifically chopping tomatoes and garlic on a cutting board.",Scene Summary,yes,5,"{
  ""correct"": ""yes"",
  ""score"": 5
}"
11,9198b9a4-8d8f-4ba6-9924-4c86982d890a,What tool does the person in the video use?,Knives.,The person in the video uses a large knife to slice the tomatoes/INFO,Scene Summary,yes,4,"{""correct"": ""yes"", ""score"": 4}"
