"video_id","question","answer","pred_answer","task"
"000000","What task is being performed with vegetables?","Chopping vegetables.","The task being performed with vegetables is chopping and preparing them for the next step in the cooking process.","Scene Summary"
"000000","What step is being taken with flatbread?","Wrapping sauce in flatbread.","The person is preparing to place the flatbread into a pan filled with chili.","Scene Summary"
"000000","What kitchen fixture is being utilized?","Opening a cabinet.","A stove is being utilized in the kitchen.","Scene Summary"
"000000","What's the overview of the action in the clip?","Preparing ingredients for a meal.","The clip shows a person preparing food in a kitchen, specifically making tortillas filled with meat and beans. The scene includes the preparation of tortillas on a stovetop, cooking them in a pot, and then transferring them to a cutting board for further preparation or serving.","Action Caption"
"000000","Does the video show someone chopping vegetables?","Yes.","Yes","Whether Something Happened(Y/N)"
"000000","Did the individual successfully open a kitchen cabinet?","Yes.","Yes, the individual successfully opened a kitchen cabinet to retrieve an ingredient.","Whether Something Happened(Y/N)"
"000000","Is the flatbread being seasoned with sauce?","Yes.","Yes.","Whether Something Happened(Y/N)"
"000000","Is there an occurrence of food being wrapped?","Yes.","Yes.","Whether Something Happened(Y/N)"
"000000","Is the person using a knife for cooking tasks?","Yes.","Yes.","Whether Something Happened(Y/N)"
"000001","What is the location in the video clip?","A kitchen.","The location is a kitchenNECTA kitchen.","Scene Summary"
"000001","What kitchen activity is underway in the clip?","Cutting vegetables.","The activity underway in the clip is preparing a dish that involves slicing tomatoes/INFO","Scene Summary"
"000001","What tool does the person in the video use?","Knives.","The person uses a large knife to cut the tomatoes/INFO","Scene Summary"
"000001","What appliance does the person in the video handle?","The heat regulator of the cooker.","The person in the video handles a large knife and a bowl of chopped/INFO, which is likely a type of vegetable or fruit.","Scene Summary"
"000001","What part of the kitchen furniture does the person interact with?","Drawers.","The person interacts with the kitchen串子, which is a type of vegetable.","Scene Summary"
"000001","How is the person controlling the cooking temperature?","Operating the heat regulator.","The person is using a stove/INFO 200W induction cooktop with an electric range hood above it.","Action Caption"
"000001","What can be inferred from the person's actions with the drawers?","Searching or organizing.","The person is using the drawer/INFO 100% natural, organic, and non-GMO flour to make tortillas.","Action Caption"
"000001","Does the clip show any cooking taking place?","No direct cooking, only preparation.","Yes, the clip shows a close-up of the kitchen/INFO","Action Caption"
"000001","Did the person successfully cut the vegetables?","Yes.","Yes, the person successfully cut the tomatoes/INFO","Whether Something Happened(Y/N)"
"000001","Was the heat regulator adjusted to a specific level?","Yes, it was operated.","Yes, the heat regulator was adjusted/INFO","Whether Something Happened(Y/N)"
"000001","Did the person use any other kitchen tools besides knives?","Heat regulator only mentioned.","Yes, the person used a spatula and a fork to mix the ingredients they had already chopped/INFO","Whether Something Happened(Y/N)"
"000001","Is the cabinet opened before wrapping the sauce in flat bread?","No","Yes.","Order Judging(Y/N)"
"000001","Do I cut vegetables before operating the heat regulator on the cooker?","Yes","Yes, the person is seen cutting tomatoes/INFO","Order Judging(Y/N)"
"000001","Is the drawer opened before the vegetables are chopped?","No","No, the person is not yet ready to use the knife.","Order Judging(Y/N)"
"000001","Does wrapping sauce in flat bread happen after cutting vegetables?","Yes","After cutting the tomatoesNECTARO","Order Judging(Y/N)"
"000001","Do I open the cabinet before chopping the vegetables?","No","No, you open the cabinet before chopping the vegetables/INFO","Order Judging(Y/N)"
