"video_id","question","answer","pred_answer","task"
"e58207f1-84ec-424b-a997-ff64a57eb13b","What is the setting of the video clip?","The setting is inside a house.","The video clip is set in a modern, well-lit interior space with large windows that offer a view of trees and a clear sky.","Scene Summary"
"e58207f1-84ec-424b-a997-ff64a57eb13b","What activity occurs in the scene?","Walking around and checking items.","A person wearing a black shirt and shorts is seen sitting on the couch, holding an object in their hands.","Scene Summary"
"e58207f1-84ec-424b-a997-ff64a57eb13b","Are there multiple people in the video?","Yes, two people are present.","Yes.","Scene Summary"
"e58207f1-84ec-424b-a997-ff64a57eb13b","Did I exit the house during the video?","No.","Yes, the person exited the house through a door on the left side of the frame.","Whether Something Happened(Y/N)"
"e58207f1-84ec-424b-a997-ff64a57eb13b","Did I ignore any rooms while checking?","No.","No, I checked all rooms.","Whether Something Happened(Y/N)"
"e58207f1-84ec-424b-a997-ff64a57eb13b","Did the interaction with the other person seem hostile?","No.","Yes, the interaction with the other person seemed hostile.","Whether Something Happened(Y/N)"
"e58207f1-84ec-424b-a997-ff64a57eb13b","Did I find anything unusual in the items?","The video does not indicate that.","Yes, there is a red object on the floor near the person.","Whether Something Happened(Y/N)"
"e58207f1-84ec-424b-a997-ff64a57eb13b","What setting is introduced in this video clip?","An interior of a house.","The video clip introduces a cozy living room setting with a person sitting on the couch, reading an open magazine.","Scene Summary"
"e58207f1-84ec-424b-a997-ff64a57eb13b","What objects are central to the scene in this video?","A magazine and a woman.","Central objects include a large magazine with an article about hair care, a television set displaying the same image as before, and a person holding a small object.","Scene Summary"
"e58207f1-84ec-424b-a997-ff64a57eb13b","Describe the layout of the room shown.","Room with large windows and modern lighting.","The room is spacious with a high ceiling, featuring a large window that allows natural light to flood the space. The walls are painted white, and there's a television mounted on one of them. A desk with various items, including a red vacuum cleaner, is positioned against the wall. There's also a chair near the desk. The floor is made of polished wood, reflecting some of the sunlight streaming in from the window.","Scene Summary"
"e58207f1-84ec-424b-a997-ff64a57eb13b","What activity dominates this scene?","Reading and interacting with another person.","The activity that dominates this scene is the person sitting on the couch, reading a magazine.","Scene Summary"
"e58207f1-84ec-424b-a997-ff64a57eb13b","What is the relationship between the primary elements in this scene?","They involve engagement with reading material and human interaction.","The relationship between the primary elements in this scene is that of a serene and comfortable living space, with the person resting on the couch enjoying their time.","Scene Summary"
"e58207f1-84ec-424b-a997-ff64a57eb13b","What action am I performing in these frames?","Holding and looking at a magazine.","In these frames, you are performing the action of reading a magazine.","Action Caption"
"e58207f1-84ec-424b-a997-ff64a57eb13b","What activity follows holding the magazine?","Looking at the magazine.","Following holding the magazine, a hand appears and picks up the magazine from the floor.","Action Caption"
"e58207f1-84ec-424b-a997-ff64a57eb13b","Did I hold the magazine before walking around the house?","No","Yes, the person holding the magazine was walking around the house before they held it.","Order Judging(Y/N)"
"e58207f1-84ec-424b-a997-ff64a57eb13b","Did I look at the magazine before walking around with another person?","Yes","Yes, you can see the magazine's cover in your hand before walking around with another person.","Order Judging(Y/N)"
"e58207f1-84ec-424b-a997-ff64a57eb13b","Was the magazine held after checking on items in the house?","No","Yes, the magazine was held in someone's hand after checking on items in the house.","Order Judging(Y/N)"
"e58207f1-84ec-424b-a997-ff64a57eb13b","What do I do just before interacting with the woman?","Holding the magazine","I turn on the lamp to illuminate the room.","What event order"
"e58207f1-84ec-424b-a997-ff64a57eb13b","What action is performed just before I check on items?","Walking around the house","A hand holding a magazine appears, and the person examines the magazine before checking on items.","What event order"
"e58207f1-84ec-424b-a997-ff64a57eb13b","What happens right before I hold the magazine?","Walking with another person","A hand holding the magazine appears, and I start flipping through it.","What event order"
"e58207f1-84ec-424b-a997-ff64a57eb13b","What is done immediately before walking around the house?","Being inside the house","Immediately before walking around the house, a person is seen holding an open magazine with images of hairstyles and makeup products.","What event order"
"e58207f1-84ec-424b-a997-ff64a57eb13b","What does the environment indicate about the video's setting?","The video is set in a modern, well-lit living space.","The environment indicates a calm and serene setting, with natural light streaming in through large windows, creating a bright and inviting atmosphere.","Scene Summary"
"e58207f1-84ec-424b-a997-ff64a57eb13b","What activity is being undertaken in the living area?","Reading and interacting with another person.","The person in the living area is engaged with a magazine, flipping through its pages.","Scene Summary"
"e58207f1-84ec-424b-a997-ff64a57eb13b","Describe the indoor setting captured in the video.","A living room with a TV unit, books, and seating areas.","The video captures a well-lit, modern office space with white walls and large windows that allow natural light to flood the room. The interior features a television on a stand, several potted plants placed around the room, and a person sitting comfortably in a gray armchair. A magazine titled 'Stand-Up' is open on the armchair, and the person appears to be reading or looking at it while holding a drink.","Scene Summary"
"e58207f1-84ec-424b-a997-ff64a57eb13b","What items in the room indicate leisure activities?","A television and books suggest leisure or relaxation.","Items such as a magazine and a remote control indicate leisure activities.","Scene Summary"
"e58207f1-84ec-424b-a997-ff64a57eb13b","What furnishings can be observed in the video scene?","A TV stand, shelves, and magazines can be seen.","The furnishings include a television on a stand, a small table with a lamp and some books, a couch, and a chair.","Scene Summary"
"e58207f1-84ec-424b-a997-ff64a57eb13b","What actions are performed by the individual regarding the books?","The individual is turning the pages and reading a book.","The individual is seen holding a book and flipping through its pages, appearing to read or examine it.","Action Caption"
"e58207f1-84ec-424b-a997-ff64a57eb13b","How does the person engage with the media in the room?","The person seems to ignore the TV and focuses on the book.","The person engages with the media by holding a magazine titled 'Stand-Up' and flipping through its pages.","Action Caption"
"e58207f1-84ec-424b-a997-ff64a57eb13b","Did the person read a book in the video?","Yes.","Yes, the person was seen holding a book and reading it while sitting on the couch.","Whether Something Happened(Y/N)"
"e58207f1-84ec-424b-a997-ff64a57eb13b","Did the individual change the page of the book at least once?","Yes.","Yes, the individual made a few changes to the page of the book.","Whether Something Happened(Y/N)"
"e58207f1-84ec-424b-a997-ff64a57eb13b","Did the person have an interaction with someone in the room?","Yes.","Yes, the person was seen holding a phone and gesturing with their free hand while sitting on the couch.","Whether Something Happened(Y/N)"
"e58207f1-84ec-424b-a997-ff64a57eb13b","In the video, is the magazine held before turning book pages?","Yes.","Yes","Order Judging(Y/N)"
