row_index,video_id,question,answer,pred_answer,task,correct,score,raw_judgment
0,9198b9a4-8d8f-4ba6-9924-4c86982d890a,What task is being performed with vegetables?,Chopping vegetables.,The task being performed with vegetables is chopping.,Scene Summary,yes,5,"{""correct"": ""yes"", ""score"": 5}"
1,9198b9a4-8d8f-4ba6-9924-4c86982d890a,What step is being taken with flatbread?,Wrapping sauce in flatbread.,The person in the video is seen placing a piece of flatbread into a bowl.,Scene Summary,no,1,"{""correct"": ""no"", ""score"": 1}"
2,9198b9a4-8d8f-4ba6-9924-4c86982d890a,What kitchen fixture is being utilized?,Opening a cabinet.,The kitchen is equipped with a stove and an oven.,Scene Summary,no,0,"{""correct"": ""no"", ""score"": 0}"
3,9198b9a4-8d8f-4ba6-9924-4c86982d890a,What's the overview of the action in the clip?,Preparing ingredients for a meal.,"The clip shows a person in the process of preparing food, specifically making tacos. The scene includes various ingredients and kitchen tools on the counter, such as a bowl of chopped vegetables, a knife, and a plate with tortillas. The person is seen adding ingredients to the tortillas, likely for cooking or serving.",Action Caption,yes,5,"{""correct"": ""yes"", ""score"": 5}"
4,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Does the video show someone chopping vegetables?,Yes.,"Yes, the video shows someone chopping vegetables on a cutting board.",Whether Something Happened(Y/N),yes,5,"{""correct"": ""yes"", ""score"": 5}"
5,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Did the individual successfully open a kitchen cabinet?,Yes.,"Yes, the individual successfully opened a kitchen cabinet to access additional ingredients and utensils.",Whether Something Happened(Y/N),yes,5,"{""correct"": ""yes"", ""score"": 5}"
6,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is the flatbread being seasoned with sauce?,Yes.,Yes,Whether Something Happened(Y/N),yes,5,"{""correct"": ""yes"", ""score"": 5}"
7,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is there an occurrence of food being wrapped?,Yes.,Yes.,Whether Something Happened(Y/N),yes,5,"{""correct"": ""yes"", ""score"": 5}"
8,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is the person using a knife for cooking tasks?,Yes.,"Yes, the person is using a knife to chop vegetables and prepare ingredients for cooking.",Whether Something Happened(Y/N),yes,5,"{""correct"": ""yes"", ""score"": 5}"
9,9198b9a4-8d8f-4ba6-9924-4c86982d890a,What is the location in the video clip?,A kitchen.,The location is a kitchen.,Scene Summary,yes,5,"{""correct"": ""yes"", ""score"": 5}"
