row_index,video_id,question,answer,pred_answer,task,correct,score,raw_judgment
0,9198b9a4-8d8f-4ba6-9924-4c86982d890a,What task is being performed with vegetables?,Chopping vegetables.,The task being performed with vegetables is chopping and mixing them in a bowl.,Scene Summary,yes,4,"{""correct"": ""yes"", ""score"": 4}"
1,9198b9a4-8d8f-4ba6-9924-4c86982d890a,What step is being taken with flatbread?,Wrapping sauce in flatbread.,The person is preparing flatbread by spreading a mixture of ingredients on it.,Scene Summary,no,2,"{""correct"": ""no"", ""score"": 2}"
2,9198b9a4-8d8f-4ba6-9924-4c86982d890a,What kitchen fixture is being utilized?,Opening a cabinet.,A stove is being utilized in the kitchen.,Scene Summary,no,0,"{""correct"": ""no"", ""score"": 0}"
3,9198b9a4-8d8f-4ba6-9924-4c86982d890a,What's the overview of the action in the clip?,Preparing ingredients for a meal.,"The clip shows a person preparing food in a kitchen, starting with chopping vegetables and then adding them to a pot. The scene transitions to the person pouring ingredients from a bowl into a pan on the stove, which contains a mixture of vegetables and spices being cooked.",Action Caption,yes,5,"{""correct"": ""yes"", ""score"": 5}"
4,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Does the video show someone chopping vegetables?,Yes.,Yes,Whether Something Happened(Y/N),yes,5,"{""correct"": ""yes"", ""score"": 5}"
5,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Did the individual successfully open a kitchen cabinet?,Yes.,"Yes, the individual successfully opened a kitchen cabinet to access ingredients.",Whether Something Happened(Y/N),yes,5,"{""correct"": ""yes"", ""score"": 5}"
6,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is the flatbread being seasoned with sauce?,Yes.,Yes,Whether Something Happened(Y/N),yes,5,"{""correct"": ""yes"", ""score"": 5}"
7,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is there an occurrence of food being wrapped?,Yes.,Yes.,Whether Something Happened(Y/N),yes,5,"{""correct"": ""yes"", ""score"": 5}"
8,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is the person using a knife for cooking tasks?,Yes.,Yes.,Whether Something Happened(Y/N),yes,5,"{""correct"": ""yes"", ""score"": 5}"
9,9198b9a4-8d8f-4ba6-9924-4c86982d890a,What is the location in the video clip?,A kitchen.,The location is a kitchen.,Scene Summary,yes,5,"{""correct"": ""yes"", ""score"": 5}"
10,9198b9a4-8d8f-4ba6-9924-4c86982d890a,What kitchen activity is underway in the clip?,Cutting vegetables.,The kitchen activity underway in the clip is preparing tortillas for cooking.,Scene Summary,no,0,"{""correct"": ""no"", ""score"": 0}"
