"video_id","question","answer","pred_answer","task"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","What task is being performed with vegetables?","Chopping vegetables.","The task being performed with vegetables is chopping and preparing them for the next step in the cooking process.","Scene Summary"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","What step is being taken with flatbread?","Wrapping sauce in flatbread.","The person is preparing to place flatbread on the cutting board.","Scene Summary"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","What kitchen fixture is being utilized?","Opening a cabinet.","A stove is being utilized in the kitchen.","Scene Summary"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","What's the overview of the action in the clip?","Preparing ingredients for a meal.","The clip shows a person preparing food in a kitchen, specifically focusing on cooking tacos. The scene includes the preparation of tacos by placing them into a large bowl and then adding ingredients to create a filling mixture.","Action Caption"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","Does the video show someone chopping vegetables?","Yes.","Yes","Whether Something Happened(Y/N)"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","Did the individual successfully open a kitchen cabinet?","Yes.","Yes, the individual successfully opened a kitchen cabinet to retrieve an ingredient.","Whether Something Happened(Y/N)"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","Is the flatbread being seasoned with sauce?","Yes.","Yes.","Whether Something Happened(Y/N)"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","Is there an occurrence of food being wrapped?","Yes.","Yes.","Whether Something Happened(Y/N)"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","Is the person using a knife for cooking tasks?","Yes.","Yes.","Whether Something Happened(Y/N)"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","What is the location in the video clip?","A kitchen.","The location is a kitchen.","Scene Summary"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","What kitchen activity is underway in the clip?","Cutting vegetables.","The kitchen activity underway in the clip is preparing food, specifically making tortillas.","Scene Summary"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","What tool does the person in the video use?","Knives.","The person uses a large knife to cut the tomatoes.","Scene Summary"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","What appliance does the person in the video handle?","The heat regulator of the cooker.","The person handles a dishwasher.","Scene Summary"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","What part of the kitchen furniture does the person interact with?","Drawers.","The person interacts with the kitchen cabinets and drawers.","Scene Summary"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","How is the person controlling the cooking temperature?","Operating the heat regulator.","The person is using a stove burner control knob to adjust the heat.","Action Caption"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","What can be inferred from the person's actions with the drawers?","Searching or organizing.","The person is organizing the kitchen drawers, possibly to make space for utensils or other items.","Action Caption"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","Does the clip show any cooking taking place?","No direct cooking, only preparation.","Yes, the clip shows a close-up of hands chopping tomatoes on a wooden cutting board in preparation for cooking.","Action Caption"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","Did the person successfully cut the vegetables?","Yes.","Yes, the person successfully cut the tomatoes into smaller pieces.","Whether Something Happened(Y/N)"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","Was the heat regulator adjusted to a specific level?","Yes, it was operated.","Yes, the heat regulator was adjusted to a medium level.","Whether Something Happened(Y/N)"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","Did the person use any other kitchen tools besides knives?","Heat regulator only mentioned.","Yes, the person used a spatula and a fork to mix the ingredients on the cutting board.","Whether Something Happened(Y/N)"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","Is the cabinet opened before wrapping the sauce in flat bread?","No","Yes.","Order Judging(Y/N)"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","Do I cut vegetables before operating the heat regulator on the cooker?","Yes","Yes, the person is seen holding a knife and slicing vegetables on the cutting board before operating the heat regulator.","Order Judging(Y/N)"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","Is the drawer opened before the vegetables are chopped?","No","Yes.","Order Judging(Y/N)"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","Does wrapping sauce in flat bread happen after cutting vegetables?","Yes","Yes, after cutting the tomatoes and garlic, they are placed on a wooden cutting board along with other ingredients like onions and herbs.","Order Judging(Y/N)"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","Do I open the cabinet before chopping the vegetables?","No","No, the video does not show any action of opening a cabinet.","Order Judging(Y/N)"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","What occurs just before wrapping the sauce in flat bread?","Chopping vegetables","Just before wrapping the sauce in flat bread, a hand is seen holding a knife and placing a tomato on a cutting board.","What event order"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","What takes place right before operating the heat regulator of the cooker?","Cutting vegetables with knives","A hand is seen adjusting the heat regulator on the stove.","What event order"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","What setting is shown in this video clip?","A kitchen.","The setting shown in this video clip is a kitchen where a person is preparing food on an electric stove.","Scene Summary"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","What task is being performed with tomatoes?","Cutting tomatoes.","The task being performed with tomatoes/INFO","Scene Summary"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","Is there an electronic device being used in this scene?","Yes, a mobile phone.","Yes.","Scene Summary"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","How is the sauce being utilized in the cooking process?","By spreading it on flatbreads.","The sauce is being poured over the tortillas, which are then placed into a fryingNECTO pan on the stove.","Action Caption"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","What activity is occurring aside from food preparation?","Operating a mobile phone.","Aside from food preparation, the activity involves cooking and serving.","Action Caption"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","What manual task is depicted involving food items?","Cutting vegetables, specifically tomatoes.","The manual task depicted involves rolling tortillas, which are then filled with a mixture of meat and vegetables.","Action Caption"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","Is someone chopping vegetables in the video?","Yes.","Yes, someone is chopping vegetables on the counter in the kitchen.","Whether Something Happened(Y/N)"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","Is the sauce being poured into a bowl?","No, it's being rolled in flatbreads.","No.","Whether Something Happened(Y/N)"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","Is a cooking activity happening in a bedroom?","No, it's happening in a kitchen.","No.","Whether Something Happened(Y/N)"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","Does the frame capture the act of grilling or frying?","No.","Yes, the frame captures the act of grilling in the final stages of the cooking process.","Whether Something Happened(Y/N)"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","In the video, are vegetables cut before the heat regulator is operated?","Yes","Yes, the vegetables are cut before the heat regulator is operated.","Order Judging(Y/N)"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","Does rolling sauce in flatbreads occur after cutting tomatoes?","Yes","Yes, after cutting tomatoes, the rolling sauce is added to the flatbreads.","Order Judging(Y/N)"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","Does the opening of the drawers happen before using the mobile phone?","No","Yes, the opening of the drawers happens before using the mobile phone.","Order Judging(Y/N)"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","Is the heat regulator operated before rolling sauce in flatbreads?","No","Yes, the heat regulator is turned on before rolling sauce in flatbreads.","Order Judging(Y/N)"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","What occurs just before rolling sauce in flatbreads?","Cutting tomatoes with a knife.","Just before rolling sauce in flatbreads, the person uses a spatula to spread the sauce evenly over the rolled dough.","What event order"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","What happens just before operating the heat regulator?","Cutting vegetables with knives.","Just before operating the heat regulator, the person is seen holding a smartphone and adjusting it to control the stove's temperature.","What event order"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","What is done just before opening drawers in the kitchen?","Operating the heat regulator of the cooker.","Just before opening drawers, the person uses a spatula to scrape out the contents of one drawerNECTO box into a bowl.","What event order"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","What activity occurs just before operating a mobile phone?","Rolling sauce in flatbreads.","Just before operating a mobile phone, the person is seen preparing to place a tortilla on a tray.","What event order"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","Is the cabinet opened before the vegetables are chopped?","No","Yes.","Order Judging(Y/N)"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","Does operating the heat regulator happen after chopping vegetables?","Yes","Yes, the person is seen adjusting the heat regulator on the stove to control the cooking process.","Order Judging(Y/N)"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","Is wrapping sauce in flat bread before cutting vegetables?","No","Yes","Order Judging(Y/N)"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","Do I use the mobile phone before opening drawers?","Yes","Yes, the mobile phone is placed on a drawer in the kitchen.","Order Judging(Y/N)"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","What happens just before the cabinet is opened in the video?","Chopping vegetables","Just before the cabinet is opened, a hand reaches into it to grab something inside.","What event order"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","What occurs immediately before operating the heat regulator?","Cutting vegetables with knives","The person is seen holding a smartphone, possibly to adjust the heat or view an app.","What event order"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","What do I do right before rolling sauce in flat breads?","Cutting tomatoes","You should roll the sauce in a small bowl to ensure it is evenly distributed.","What event order"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","What action takes place just before using the mobile phone?","Rolling sauce in flat breads","Just before using the mobile phone, a hand is seen holding a red spatula and placing it on the countertop.","What event order"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","What is done directly before opening drawers in the kitchen?","Operating the heat regulator.","The person is seen placing tortillas on a tray lined with parchment paper, which are then placed into the frying/INFO's tortilla wrap maker.","What event order"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","What is the setting of the latest video frame?","A kitchen.","The setting of the latest video frame is a kitchen with a countertop where the person is preparing food.","Scene Summary"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","What can be seen on the stove in the video clip?","A pan with shawarma filling and bread.","The stove in the video clip has two tortillas, a pot of chili, and a bowl of chopped green onions.","Scene Summary"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","How many pans are on the stove in the video?","Two pans.","There are two pans on the stove in the video.","Scene Summary"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","What objects are visible on the kitchen counter in the video?","Ingredients and utensils.","On the kitchen counter, there are various ingredients and utensils such as a cutting board with chopped green herbs, a bowl of diced tomatoes, a knife, a spoon, a bottle of oil, a container of grated cheese, and a blender.","Scene Summary"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","What cooking process is happening in the new frames?","Shawarma filling is being prepared.","The new frames show the person in the kitchen preparing a dish that involves rolling tortillas filled with a mixture of vegetables and possibly meat, as well as adding ingredients to them on the stovetop.","Action Caption"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","What action was the cook performing?","Adding bread to the shawarma filling.","The cook was preparing a dish by rolling tortillas, adding ingredients to the pan, and stirring them.","Action Caption"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","How is the cook interacting with the food?","By stirring and combining ingredients.","The cook is actively engaged in the cooking process, using a spatula to stir and mix ingredients on the pan.","Action Caption"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","Describe the cook's technique in the video clip.","Carefully scooping and spreading filling onto bread.","The cook is seen using a spatula to spread the filling evenly over each tortilla, ensuring it covers all sides. The person then uses a fork to lift and transfer the filled tortillas onto a plate, showcasing their readiness for cooking.","Action Caption"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","Is there more than one dish being cooked simultaneously?","Yes.","Yes, there are two dishes being cooked simultaneously on the stove.","Whether Something Happened(Y/N)"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","Is the cook wearing any protective gloves in the video?","No.","No, the cook is not wearing any protective gloves in the video.","Whether Something Happened(Y/N)"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","Does the video capture the addition of toppings to the shawarma?","No.","Yes, the video captures the addition of toppings to the shawarma by placing a dollop of shredded cheese on top and then adding chopped/INFO, which is a type of vegetable.","Whether Something Happened(Y/N)"
