video_id,question,answer,pred_answer,task
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What task is being performed with vegetables?,Chopping vegetables.,The task being performed with vegetables is chopping.,Scene Summary
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What step is being taken with flatbread?,Wrapping sauce in flatbread.,The person is preparing to cut the flatbread into smaller pieces.,Scene Summary
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What kitchen fixture is being utilized?,Opening a cabinet.,The kitchen is equipped with a stove and a wooden cutting board.,Scene Summary
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What's the overview of the action in the clip?,Preparing ingredients for a meal.,"The video showcases a person preparing a meal in a kitchen, starting with the preparation of a dish that involves cooking a mixture of vegetables and possibly meat, followed by the assembly of a dish that includes a bowl of chopped vegetables and a bowl of chopped tomatoes. The person then adds the vegetables to a pan and stirs them with a spatula.",Action Caption
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Does the video show someone chopping vegetables?,Yes.,Yes,Whether Something Happened(Y/N)
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Did the individual successfully open a kitchen cabinet?,Yes.,"Yes, the individual successfully opened a kitchen cabinet to retrieve a bottle of olive oil.",Whether Something Happened(Y/N)
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is the flatbread being seasoned with sauce?,Yes.,Yes,Whether Something Happened(Y/N)
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is there an occurrence of food being wrapped?,Yes.,Yes.,Whether Something Happened(Y/N)
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is the person using a knife for cooking tasks?,Yes.,Yes,Whether Something Happened(Y/N)
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What is the location in the video clip?,A kitchen.,The location is a kitchen.,Scene Summary
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What kitchen activity is underway in the clip?,Cutting vegetables.,"The kitchen activity underway in the clip is preparing a dish that involves rolling tortillas filled with a mixture, likely a filling, and then baking them in an oven.",Scene Summary
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What tool does the person in the video use?,Knives.,The person uses a large knife to cut the tomatoes.,Scene Summary
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What appliance does the person in the video handle?,The heat regulator of the cooker.,The person in the video handles a dishwasher.,Scene Summary
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What part of the kitchen furniture does the person interact with?,Drawers.,The person interacts with the kitchen cabinets and drawers.,Scene Summary
9198b9a4-8d8f-4ba6-9924-4c86982d890a,How is the person controlling the cooking temperature?,Operating the heat regulator.,The person is using a black oven mitt to control the cooking temperature.,Action Caption
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What can be inferred from the person's actions with the drawers?,Searching or organizing.,"The person's actions with the drawers suggest they are organizing or retrieving items, indicating a sense of purpose and routine in the kitchen.",Action Caption
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Does the clip show any cooking taking place?,"No direct cooking, only preparation.","Yes, the clip shows the cooking process, including the preparation of the filling for the burritos.",Action Caption
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Did the person successfully cut the vegetables?,Yes.,"Yes, the person successfully cut the tomatoes into smaller pieces.",Whether Something Happened(Y/N)
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Was the heat regulator adjusted to a specific level?,"Yes, it was operated.","Yes, the heat regulator was adjusted to a specific level, as indicated by the text '225' on the control panel.",Whether Something Happened(Y/N)
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Did the person use any other kitchen tools besides knives?,Heat regulator only mentioned.,"Yes, the person used a spatula and a fork to mix the ingredients on the cutting board.",Whether Something Happened(Y/N)
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is the cabinet opened before wrapping the sauce in flat bread?,No,Yes,Order Judging(Y/N)
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Do I cut vegetables before operating the heat regulator on the cooker?,Yes,"Yes, the person is seen holding a knife and cutting a tomato on the cutting board before operating the heat regulator on the cooker.",Order Judging(Y/N)
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is the drawer opened before the vegetables are chopped?,No,Yes,Order Judging(Y/N)
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Does wrapping sauce in flat bread happen after cutting vegetables?,Yes,"Yes, after cutting vegetables, the hands are seen wrapping sauce in flat bread, indicating the next step in the cooking process.",Order Judging(Y/N)
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Do I open the cabinet before chopping the vegetables?,No,"Yes, the person opens the cabinet before chopping the vegetables.",Order Judging(Y/N)
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What occurs just before wrapping the sauce in flat bread?,Chopping vegetables,"Just before wrapping the sauce in flat bread, the person places the tomato halves on the cutting board and starts slicing them into thin pieces.",What event order
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What takes place right before operating the heat regulator of the cooker?,Cutting vegetables with knives,"A hand is seen adjusting the heat regulator of the cooker, likely to ensure the cooking is at the correct temperature.",What event order
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What setting is shown in this video clip?,A kitchen.,The setting shown in this video clip is a kitchen where a person is preparing a dish that involves rolling tortillas filled with a meat mixture.,Scene Summary
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What task is being performed with tomatoes?,Cutting tomatoes.,The task being performed with tomatoes is transferring them from a container to a pan on the stove.,Scene Summary
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is there an electronic device being used in this scene?,"Yes, a mobile phone.","Yes, there is an electronic device being used in this scene, as indicated by the smartphone being held by one of the individuals.",Scene Summary
9198b9a4-8d8f-4ba6-9924-4c86982d890a,How is the sauce being utilized in the cooking process?,By spreading it on flatbreads.,"The sauce is being poured over the rolled tortillas, which are being prepared for the next step in the cooking process.",Action Caption
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What activity is occurring aside from food preparation?,Operating a mobile phone.,"Aside from food preparation, there is a person using a smartphone to take a photo of the food preparation process.",Action Caption
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What manual task is depicted involving food items?,"Cutting vegetables, specifically tomatoes.","The manual task depicted involves rolling tortillas, which are then filled with a mixture of meat and vegetables.",Action Caption
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is someone chopping vegetables in the video?,Yes.,"Yes, someone is chopping vegetables on the counter in the video.",Whether Something Happened(Y/N)
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is the sauce being poured into a bowl?,"No, it's being rolled in flatbreads.","No, the sauce is being poured into a pan on the stove.",Whether Something Happened(Y/N)
