"video_id","question","answer","pred_answer","task"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","What task is being performed with vegetables?","Chopping vegetables.","The task being performed with vegetables is chopping and preparing them for the next step in the cooking process.","Scene Summary"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","What step is being taken with flatbread?","Wrapping sauce in flatbread.","The person is preparing to cut the flatbread into smaller pieces.","Scene Summary"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","What kitchen fixture is being utilized?","Opening a cabinet.","A gas stove is being utilized in the kitchen.","Scene Summary"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","What's the overview of the action in the clip?","Preparing ingredients for a meal.","The clip shows a person preparing food in a kitchen, specifically focusing on cooking and mixing ingredients. The scene includes the preparation of tacos or burritos, with hands handling various items such as tortillas, bowls, and utensils.","Action Caption"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","Does the video show someone chopping vegetables?","Yes.","Yes","Whether Something Happened(Y/N)"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","Did the individual successfully open a kitchen cabinet?","Yes.","Yes, the individual successfully opened a kitchen cabinet to retrieve an ingredient.","Whether Something Happened(Y/N)"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","Is the flatbread being seasoned with sauce?","Yes.","Yes","Whether Something Happened(Y/N)"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","Is there an occurrence of food being wrapped?","Yes.","Yes.","Whether Something Happened(Y/N)"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","Is the person using a knife for cooking tasks?","Yes.","Yes.","Whether Something Happened(Y/N)"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","What is the location in the video clip?","A kitchen.","The location is a kitchen.","Scene Summary"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","What kitchen activity is underway in the clip?","Cutting vegetables.","The kitchen activity underway in the clip is preparing food, specifically chopping tomatoes and other ingredients.","Scene Summary"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","What tool does the person in the video use?","Knives.","The person uses a knife to cut the tomatoes.","Scene Summary"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","What appliance does the person in the video handle?","The heat regulator of the cooker.","The person in the video handles a kitchen appliance, specifically a dishwasher.","Scene Summary"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","What part of the kitchen furniture does the person interact with?","Drawers.","The person interacts with the kitchen cabinets and drawers.","Scene Summary"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","How is the person controlling the cooking temperature?","Operating the heat regulator.","The person is using a microwave oven to control the cooking temperature.","Action Caption"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","What can be inferred from the person's actions with the drawers?","Searching or organizing.","The person's actions with the drawers suggest they are organizing or cleaning them, indicating a sense of routine and preparation for cooking.","Action Caption"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","Does the clip show any cooking taking place?","No direct cooking, only preparation.","Yes, the clip shows a cooking process in progress.","Action Caption"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","Did the person successfully cut the vegetables?","Yes.","Yes, the person successfully cut the vegetables into smaller pieces.","Whether Something Happened(Y/N)"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","Was the heat regulator adjusted to a specific level?","Yes, it was operated.","Yes, the heat regulator was adjusted to a specific level.","Whether Something Happened(Y/N)"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","Did the person use any other kitchen tools besides knives?","Heat regulator only mentioned.","Yes, the person used a knife to chop the tomatoes and other ingredients.","Whether Something Happened(Y/N)"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","Is the cabinet opened before wrapping the sauce in flat bread?","No","Yes","Order Judging(Y/N)"
