row_index,video_id,question,answer,pred_answer,task,correct,score,raw_judgment
0,000000,What task is being performed with vegetables?,Chopping vegetables.,The task being performed with vegetables is chopping and preparing them for the next step in the cooking process.,Scene Summary,yes,5,"{
  ""correct"": ""yes"",
  ""score"": 5
}"
1,000000,What step is being taken with flatbread?,Wrapping sauce in flatbread.,The step being taken with flatbread is adding it to the pot of stew.,Scene Summary,no,0,"{
  ""correct"": ""no"",
  ""score"": 0
}"
2,000000,What kitchen fixture is being utilized?,Opening a cabinet.,A stove is being utilized.,Scene Summary,no,0,"{""correct"": ""no"", ""score"": 0}"
3,000000,What's the overview of the action in the clip?,Preparing ingredients for a meal.,"The video begins with a person preparing food in the kitchen, including making tortillas and adding ingredients to them. It then transitions to show the tortillas being cooked on a stovetop, with various spices and seasonings visible around them. The scene continues with the person pouring a red sauce from a bowl into a white bowl containing chopped vegetables, indicating that they are about to mix the ingredients together for a dish.",Action Caption,yes,4,"{
  ""correct"": ""yes"",
  ""score"": 4
}"
4,000000,Does the video show someone chopping vegetables?,Yes.,Yes,Whether Something Happened(Y/N),yes,5,"{
  ""correct"": ""yes"",
  ""score"": 5
}"
5,000000,Did the individual successfully open a kitchen cabinet?,Yes.,"Yes, the individual successfully opened a kitchen cabinet to retrieve an ingredient.",Whether Something Happened(Y/N),yes,5,"{
  ""correct"": ""yes"",
  ""score"": 5
}"
6,000000,Is the flatbread being seasoned with sauce?,Yes.,Yes.,Whether Something Happened(Y/N),yes,5,"{
  ""correct"": ""yes"",
  ""score"": 5
}"
7,000000,Is there an occurrence of food being wrapped?,Yes.,Yes.,Whether Something Happened(Y/N),yes,5,"{
  ""correct"": ""yes"",
  ""score"": 5
}"
8,000000,Is the person using a knife for cooking tasks?,Yes.,Yes.,Whether Something Happened(Y/N),yes,5,"{
  ""correct"": ""yes"",
  ""score"": 5
}"
9,000001,What is the location in the video clip?,A kitchen.,The location is a kitchen.,Scene Summary,yes,5,"{
  ""correct"": ""yes"",
  ""score"": 5
}"
10,000001,What kitchen activity is underway in the clip?,Cutting vegetables.,The kitchen activity underway in the clip is preparing ingredients for a dish.,Scene Summary,no,2,"{
  ""correct"": ""no"",
  ""score"": 2
}"
11,000001,What tool does the person in the video use?,Knives.,The person uses a knife to cut the tomatoes.,Scene Summary,yes,5,"{
  ""correct"": ""yes"",
  ""score"": 5
}"
12,000001,What appliance does the person in the video handle?,The heat regulator of the cooker.,The person handles a microwave.,Scene Summary,no,0,"{""correct"": ""no"", ""score"": 0}"
13,000001,What part of the kitchen furniture does the person interact with?,Drawers.,The person interacts with the kitchen cabinets and drawers.,Scene Summary,no,3,"{
  ""correct"": ""no"",
  ""score"": 3
}"
14,000001,How is the person controlling the cooking temperature?,Operating the heat regulator.,The person is using a stove to heat the pot.,Action Caption,no,1,"{
  ""correct"": ""no"",
  ""score"": 1
}"
15,000001,What can be inferred from the person's actions with the drawers?,Searching or organizing.,The person's actions with the drawers suggest that they are organizing or preparing for a meal.,Action Caption,yes,4,"{
  ""correct"": ""yes"",
  ""score"": 4
}"
16,000001,Does the clip show any cooking taking place?,"No direct cooking, only preparation.","Yes, the clip shows a cooking process in progress.",Action Caption,no,0,"{
  ""correct"": ""no"",
  ""score"": 0
}"
17,000001,Did the person successfully cut the vegetables?,Yes.,Yes.,Whether Something Happened(Y/N),yes,5,"{
  ""correct"": ""yes"",
  ""score"": 5
}"
18,000001,Was the heat regulator adjusted to a specific level?,"Yes, it was operated.","Yes, the heat regulator was adjusted to a medium level.",Whether Something Happened(Y/N),no,2,"{
  ""correct"": ""no"",
  ""score"": 2
}"
19,000001,Did the person use any other kitchen tools besides knives?,Heat regulator only mentioned.,"Yes, the person used a fork and an egg carton as additional kitchen tools.",Whether Something Happened(Y/N),no,0,"{
  ""correct"": ""no"",
  ""score"": 0
}"
20,000001,Is the cabinet opened before wrapping the sauce in flat bread?,No,Yes.,Order Judging(Y/N),no,0,"{""correct"": ""no"", ""score"": 0}"
