row_index,video_id,question,answer,pred_answer,task,correct,score,raw_judgment
0,9198b9a4-8d8f-4ba6-9924-4c86982d890a,What task is being performed with vegetables?,Chopping vegetables.,The task being performed with vegetables is chopping.,Scene Summary,yes,5,"{""correct"": ""yes"", ""score"": 5}"
1,9198b9a4-8d8f-4ba6-9924-4c86982d890a,What step is being taken with flatbread?,Wrapping sauce in flatbread.,"The person is preparing to place flatbread on the pan, likely to be used as a base for the dish.",Scene Summary,no,1,"{""correct"": ""no"", ""score"": 1}"
2,9198b9a4-8d8f-4ba6-9924-4c86982d890a,What kitchen fixture is being utilized?,Opening a cabinet.,A stove is being utilized in the kitchen.,Scene Summary,no,0,"{""correct"": ""no"", ""score"": 0}"
3,9198b9a4-8d8f-4ba6-9924-4c86982d890a,What's the overview of the action in the clip?,Preparing ingredients for a meal.,"The clip shows a person preparing a dish by cooking tortillas on a stovetop. The person is seen handling tortillas, stirring them with a spatula, and adding ingredients to a pan. The scene transitions to a close-up of the person mixing the tortillas in the pan, with the kitchen counter and various ingredients visible in the background.",Action Caption,yes,4,"{""correct"": ""yes"", ""score"": 4}"
4,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Does the video show someone chopping vegetables?,Yes.,"Yes, the video shows someone chopping vegetables on the counter.",Whether Something Happened(Y/N),yes,5,"{""correct"": ""yes"", ""score"": 5}"
5,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Did the individual successfully open a kitchen cabinet?,Yes.,"Yes, the individual successfully opened a kitchen cabinet to retrieve a bottle of olive oil.",Whether Something Happened(Y/N),yes,5,"{""correct"": ""yes"", ""score"": 5}"
6,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is the flatbread being seasoned with sauce?,Yes.,Yes,Whether Something Happened(Y/N),yes,5,"{""correct"": ""yes"", ""score"": 5}"
7,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is there an occurrence of food being wrapped?,Yes.,"Yes, there is an occurrence of food being wrapped in the video.",Whether Something Happened(Y/N),yes,5,"{""correct"": ""yes"", ""score"": 5}"
8,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is the person using a knife for cooking tasks?,Yes.,Yes,Whether Something Happened(Y/N),yes,5,"{""correct"": ""yes"", ""score"": 5}"
9,9198b9a4-8d8f-4ba6-9924-4c86982d890a,What is the location in the video clip?,A kitchen.,The location is a kitchen.,Scene Summary,yes,5,"{""correct"": ""yes"", ""score"": 5}"
10,9198b9a4-8d8f-4ba6-9924-4c86982d890a,What kitchen activity is underway in the clip?,Cutting vegetables.,"The clip shows a person preparing food in a kitchen, specifically chopping tomatoes and preparing them for cooking.",Scene Summary,yes,5,"{""correct"": ""yes"", ""score"": 5}"
11,9198b9a4-8d8f-4ba6-9924-4c86982d890a,What tool does the person in the video use?,Knives.,The person uses a large knife to cut the tomatoes.,Scene Summary,yes,5,"{""correct"": ""yes"", ""score"": 5}"
12,9198b9a4-8d8f-4ba6-9924-4c86982d890a,What appliance does the person in the video handle?,The heat regulator of the cooker.,The person in the video handles a dishwasher.,Scene Summary,no,0,"{""correct"": ""no"", ""score"": 0}"
13,9198b9a4-8d8f-4ba6-9924-4c86982d890a,What part of the kitchen furniture does the person interact with?,Drawers.,"The person interacts with the kitchen cabinets and drawers, opening and closing them to access the lower shelves.",Scene Summary,yes,4,"{""correct"": ""yes"", ""score"": 4}"
14,9198b9a4-8d8f-4ba6-9924-4c86982d890a,How is the person controlling the cooking temperature?,Operating the heat regulator.,The person is using a stove burner control knob to adjust the heat.,Action Caption,yes,5,"{""correct"": ""yes"", ""score"": 5}"
15,9198b9a4-8d8f-4ba6-9924-4c86982d890a,What can be inferred from the person's actions with the drawers?,Searching or organizing.,"The person's actions with the drawers suggest they are organizing or retrieving items, indicating a sense of purpose and routine in the kitchen.",Action Caption,yes,5,"{""correct"": ""yes"", ""score"": 5}"
16,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Does the clip show any cooking taking place?,"No direct cooking, only preparation.","Yes, the clip shows the cooking process in progress, with the person preparing tortillas on the stove and the kitchen counter being tidied up.",Action Caption,no,1,"{""correct"": ""no"", ""score"": 1}"
